ASC_Name,Provider_id,NPI,City,State,Zip_code,Year,ASC_1_Measure_Rate,ASC_1_Footnote,ASC_2_Measure_Rate,ASC_2_Footnote,ASC_3_Measure_Rate,ASC_3_Footnote,ASC_4_Measure_Rate,ASC_4_Footnote,ASC_5_Measure_Rate,ASC_5_Footnote,ASC_1_5_Encounter_Start_Date,ASC_1_5_Encounter_End_Date,ASC_6_SSChecklist,ASC_6_Footnote,ASC_7_Volume,ASC_7_Respiratory,ASC_7_Eye,ASC_7_Genitourinary,ASC_7_Musculoskeletal,ASC_7_Gastrointestinal,ASC_7_Nervous_System,ASC_7_skin,ASC_7_Footnote,ASC_6_7_Encounter_Start_Date,ASC_6_7_Encounter_End_Date,ASC_8_rate,ASC_8_Footnote,ASC_8_Encounter_Date,ASC_9_rate,ASC_9_Footnote,ASC_10_rate,ASC_10_Footnote,ASC_9_10_Encounter_Start_Date,ASC_9_10_Encounter_End_Date,ASC_11_rate,ASC_11_Footnote,ASC_11_Encounter_Start_Date,ASC_11_Encounter_End_Date,ASC_12_Total_Cases,ASC_12_Performance_Category,ASC_12_Interval_Lower_Limit,ASC_12_Interval_Upper_Limit,ASC_12_Footnote,ASC_12_Encounter_Start_Date,ASC_12_Encounter_End_Date,ASC_12_RSHV_Rate
GI DIAGNOSTIC ENDOSCOPY CENTER,11C0001146,1205803699,MARIETTA,GA,30067,2016,0,,0,,0,,0.78,,N/A,5,1/1/2016,12/31/2016,Yes,,"6,351",0,0,0,0,"6,351",0,0,,1/1/2016,12/31/2016,91.43,,2016/2017,92.97,,88.94,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,684,No Different than the National Rate,11.7,21.7,,1/1/2016,12/31/2016,15.9
GOLDSBORO ENDOSCOPY CENTER INC,34C0001040,1205804697,GOLDSBORO,NC,27534,2016,0,,0,,0,,0.827,,N/A,5,1/1/2016,12/31/2016,Yes,,"3,461",0,0,0,0,"3,461",0,0,,1/1/2016,12/31/2016,73.68,,2016/2017,100,,100,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,626,No Different than the National Rate,7.6,14.2,,1/1/2016,12/31/2016,10.5
ABILENE CATARACT AND REFRACTIVE SURGERY CENTER,45C0001085,1205808938,ABILENE,TX,79606,2016,0,,0,,0,,0,,N/A,5,1/1/2016,12/31/2016,Yes,,"2,470",0,"2,450",0,0,0,0,20,,1/1/2016,12/31/2016,81.82,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
OCEAN SURGICAL PAVILLION,31C0001036,1205809795,OAKHURST,NJ,7755,2016,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,93.75,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
ADOBE SURGERY CENTER PC,03C0001078,1205821097,TUCSON,AZ,85712,2016,0,,0,,0,,0,,N/A,5,1/1/2016,12/31/2016,Yes,,"4,376",0,0,0,0,"4,376",0,0,,1/1/2016,12/31/2016,N/A,1,2016/2017,100,,100,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,440,No Different than the National Rate,10.1,19.2,,1/1/2016,12/31/2016,13.9
INTERVENTIONAL REHABILITATION CENTER LLC,10C0001294,1205839487,PENSACOLA,FL,32504,2016,0,,0,,0,,0,,714.29,1,1/1/2016,12/31/2016,Yes,,"4,990",0,0,0,0,0,"4,990",0,,1/1/2016,12/31/2016,92.86,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
THE UROLOGY CENTER LLC,36C0001107,1205845740,CINCINNATI,OH,45212,2016,0.496,,0,,0,,0.745,,998.09,,1/1/2016,12/31/2016,Yes,,"6,270",0,0,"6,240",0,30,0,0,,1/1/2016,12/31/2016,91.3,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
EUCLID ENDOSCOPY CENTER LP,05C0001794,1205853041,SAN DIEGO,CA,92114,2016,1.761,,0,,0,,0,,0,1,1/1/2016,12/31/2016,Yes,,"3,158",0,0,0,0,"3,158",0,0,,1/1/2016,12/31/2016,92.11,,2016/2017,92.86,,N/A,1,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,171,No Different than the National Rate,8.7,16.7,,1/1/2016,12/31/2016,12
MARIETTA EYE CLINIC PA,11C0001260,1205857968,MARIETTA,GA,30060,2016,0.455,,0,,0,,0,,0,,1/1/2016,12/31/2016,Yes,,"9,139",0,"8,607",0,0,0,0,532,,1/1/2016,12/31/2016,55.22,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
KOKOPELLI EYE CARE,03C0001099,1205858875,PRESCOTT VALLEY,AZ,86314,2016,0,,0,,0,,0,,N/A,5,1/1/2016,12/31/2016,Yes,,937,0,937,0,0,0,0,0,,1/1/2016,12/31/2016,48.72,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
THE COMMUNITY SURGERY AND LASER CENTER LLC,39C0001242,1205859550,WARREN,PA,16365,2016,0,,0,,0,,0,,"1,000.00",1,1/1/2016,12/31/2016,Yes,,"2,166",0,"2,037",0,0,0,0,129,,1/1/2016,12/31/2016,100,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
ENDOSCOPIC SERVICES PA,17C0001026,1205862984,WICHITA,KS,67218,2016,0,,0,,0,,0,,N/A,5,1/1/2016,12/31/2016,Yes,,"1,982",0,0,0,0,"1,982",0,0,,1/1/2016,12/31/2016,85.71,,2016/2017,92.71,,84.38,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,273,No Different than the National Rate,9.4,18,,1/1/2016,12/31/2016,13.1
GASTROENTEROLOGY OF CANTON ENDOSCOPY CENTER INC,36C0001085,1205865409,CANTON,OH,44718,2016,0,,0,,0,,0,,N/A,5,1/1/2016,12/31/2016,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A,5,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,79,No Different than the National Rate,8.9,17.9,,1/1/2016,12/31/2016,12.6
ROANOKE SURGERY CENTER LP,49C0001002,1205869211,SALEM,VA,24153,2016,0,,0,,0,,0.454,,"1,000.00",,1/1/2016,12/31/2016,Yes,,"4,833",192,"1,244",193,835,"1,897",196,276,,1/1/2016,12/31/2016,87.9,,2016/2017,85.42,,100,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,530,No Different than the National Rate,9.3,17.5,,1/1/2016,12/31/2016,12.7
KLAMATH SURGEONS LLC,38C0001029,1205871050,KLAMATH FALLS,OR,97601,2016,0,,0,,0,,0,,N/A,5,1/1/2016,12/31/2016,Yes,,"1,519",0,"1,429",3,1,74,0,12,,1/1/2016,12/31/2016,61.29,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,Number of Cases Too Small,N/A,N/A,1,1/1/2016,12/31/2016,N/A
THE SURGERY AND ENDOSCOPY CENTER LLC,10C0001404,1205872108,SEBRING,FL,33870,2016,0,,0,,0,,1.423,,892.86,,1/1/2016,12/31/2016,Yes,,"6,552",0,790,0,0,"5,734",0,28,,1/1/2016,12/31/2016,28.57,,2016/2017,76.92,,85.86,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,769,No Different than the National Rate,9.4,17.2,,1/1/2016,12/31/2016,12.8
CENTRAL GA HEAD ANDNECK SURGERY CENTER,11C0001150,1205874906,MACON,GA,31201,2016,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,100,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
ENDOSURGICAL CENTER OF CENTRAL NEW JERSEY,31C0001130,1205875283,EAST BRUNSWICK,NJ,8816,2016,0,,0,,0,,0.593,,"1,000.00",1,1/1/2016,12/31/2016,Yes,,"5,105",0,0,0,0,"4,696",409,0,,1/1/2016,12/31/2016,76.92,,2016/2017,94.79,,92.71,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,775,No Different than the National Rate,9.6,17.6,,1/1/2016,12/31/2016,13.1
ALBUQUERQUE AMBULATORY EYE SURGERY CENTER LLC,32C0001112,1205878758,ALBUQUERQUE,NM,87109,2016,0,,0,,0,,0,,0,1,1/1/2016,12/31/2016,Yes,,"11,225",0,"11,225",0,0,0,0,0,,1/1/2016,12/31/2016,67.06,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
HERITAGE EYE CENTER LC,45C0001092,1205881935,MCKINNEY,TX,75069,2016,0,,0,,0,,0.754,,N/A,5,1/1/2016,12/31/2016,Yes,,"2,620",0,"2,576",0,0,0,0,44,,1/1/2016,12/31/2016,92.59,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
GLASGOW MEDICAL CENTER LLC,08C0001005,1205885746,NEWARK,DE,19702,2016,0,,0,,0,,0,,"1,000.00",,1/1/2016,12/31/2016,Yes,,"2,581",339,188,9,445,"1,444",126,30,,1/1/2016,12/31/2016,96.83,,2016/2017,70.14,,100,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,327,No Different than the National Rate,8.5,16.4,,1/1/2016,12/31/2016,11.8
SOUTH COAST SURGERY CENTER LLC,38C0001025,1205889110,COOS BAY,OR,97420,2016,0,,0,,0,,0,,970.15,,1/1/2016,12/31/2016,Yes,,"1,772",165,0,0,"1,599",8,0,0,,1/1/2016,12/31/2016,85.29,,2016/2017,N/A,1,N/A,1,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,Number of Cases Too Small,N/A,N/A,1,1/1/2016,12/31/2016,N/A
ALASKA SURGERY CENTER LIMITED PARTNERSHIP,02C0001001,1205892197,ANCHORAGE,AK,99508,2016,0,,0,,0,,0,,985.92,,1/1/2016,12/31/2016,Yes,,"3,043",344,591,108,"1,646",99,181,74,,1/1/2016,12/31/2016,77.86,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
EL PASO SURGERY CENTERS LP,45C0001126,1205899705,EL PASO,TX,79915,2016,0,,0,,0,,0,,"1,000.00",1,1/1/2016,12/31/2016,Yes,,"1,819",0,"1,741",48,8,0,0,22,,1/1/2016,12/31/2016,55.77,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
CAROLINAS HEALTHCARE SYSTEM CAROLINA ENDOSCOPY CENTER PINEVILLE,34C0001132,1205908456,CHARLOTTE,NC,28210,2016,0,,0,,0,,0,,N/A,5,1/1/2016,12/31/2016,Yes,,"3,433",0,0,0,0,"3,433",0,0,,1/1/2016,12/31/2016,97.78,,2016/2017,92.57,,93.75,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,319,No Different than the National Rate,9.8,18.5,,1/1/2016,12/31/2016,13.3
INTERVENTIONAL PAIN CENTER OF MERCED,05C0001726,1205911716,MERCED,CA,95340,2016,0,,0,,0,,0,,N/A,5,1/1/2016,12/31/2016,Yes,,"1,158",0,0,0,0,0,"1,158",0,,1/1/2016,12/31/2016,72.73,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
RICHARD W LAZARO MD PC,32C0001002,1205915527,LAS CRUCES,NM,88011,2016,0,,0,,0,,0,,N/A,5,1/1/2016,12/31/2016,Yes,,835,0,835,0,0,0,0,0,,1/1/2016,12/31/2016,N/A,1,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,99.88,,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
CATARACT AND LASER CENTER INC,22C0001018,1205917101,DEDHAM,MA,2026,2016,0,,0,,0,,0,,N/A,5,1/1/2016,12/31/2016,Yes,,"3,732",0,"3,732",0,0,0,0,0,,1/1/2016,12/31/2016,85.71,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
LUDWICK LASER AND SURGERY CENTER LLC,39C0001246,1205925278,CHAMBERSBURG,PA,17201,2016,0,,0,,0,,0,,N/A,5,1/1/2016,12/31/2016,Yes,,"3,699",0,"3,697",0,0,0,0,2,,1/1/2016,12/31/2016,59.09,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
OAK TREE SURGERY CENTER LLC,31C0001101,1205929080,EDISON,NJ,8820,2016,0,,1.22,,0,,0,,"1,000.00",1,1/1/2016,12/31/2016,Yes,,"4,626",0,0,0,0,"4,626",0,0,,1/1/2016,12/31/2016,52.5,,2016/2017,43.82,,65,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,251,No Different than the National Rate,8.9,17.6,,1/1/2016,12/31/2016,12.5
BELTWAY SURGERY CENTERS LLC,15C0001019,1205939345,INDIANAPOLIS,IN,46260,2016,0,,0,,0,,1.144,,993.87,,1/1/2016,12/31/2016,Yes,,"2,989",0,0,0,"1,520",0,"1,442",27,,1/1/2016,12/31/2016,97.06,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
FLORIDA ORTHOPAEDIC INSTITUTE SURGERY CENTER LLC,10C0001364,1205945243,TEMPLE TERRACE,FL,33637,2016,0,,0,,0,,0,,983.25,,1/1/2016,12/31/2016,Yes,,"5,453",0,0,0,"5,265",0,175,13,,1/1/2016,12/31/2016,72.43,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
MEMORIAL SURGERY CENTER LLC,37C0001055,1205949245,TULSA,OK,74133,2016,0,,0,,0,,0.658,,"1,000.00",,1/1/2016,12/31/2016,Yes,,"5,580",115,"4,152",0,650,201,297,165,,1/1/2016,12/31/2016,57.14,,2016/2017,100,,100,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,33,No Different than the National Rate,9.4,18.6,,1/1/2016,12/31/2016,13.2
BRYN MAWR MEDICAL SPECIALISTS ASSOCIATION,39C0001169,1205963568,BRYN MAWR,PA,19010,2016,0,,0,,0,,1.563,,N/A,5,1/1/2016,12/31/2016,Yes,,"6,689",0,0,0,0,"6,689",0,0,,1/1/2016,12/31/2016,93.94,,2016/2017,100,,100,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,923,No Different than the National Rate,9.4,17,,1/1/2016,12/31/2016,12.6
MOUNTAIN HOME SURGERY CENTER,04C0001017,1205978780,MOUNTAIN HOME,AR,72653,2016,0,,0,,0,,0,,"1,000.00",,1/1/2016,12/31/2016,Yes,,"2,972",0,"1,772",0,"1,200",0,0,0,,1/1/2016,12/31/2016,86.36,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
SURGICAL EYE CENTER OF MORGANTOWN,51C0001011,1205998648,MORGANTOWN,WV,26505,2016,0,,0,,0,,0,,N/A,5,1/1/2016,12/31/2016,Yes,,"2,950",0,"2,950",0,0,0,0,0,,1/1/2016,12/31/2016,96.88,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
SANTA ROSA AMBULATORY SURGICAL CENTER MEDICAL GROUP INC,05C0001652,1215002852,SANTA ROSA,CA,95404,2016,0,,0,,0,,0,,N/A,5,1/1/2016,12/31/2016,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A,1,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
HATTIESBURG EYE CLINIC CATARCT AND LASIK SURGERY CENTER LLC,25C0001055,1215014022,HATTIESBURG,MS,39402,2016,0,,0,,0,,0,,N/A,5,1/1/2016,12/31/2016,Yes,,"4,342",0,"4,217",0,0,0,0,125,,1/1/2016,12/31/2016,73.91,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
FOUR SEASONS SURGERY CENTERS OF ONTARIO LP,05C0001704,1215019625,ONTARIO,CA,91762,2016,0,,0,,0,,1.127,,956.52,,1/1/2016,12/31/2016,Yes,,"4,349",0,262,0,279,"1,500","2,308",0,,1/1/2016,12/31/2016,84.44,,2016/2017,96.58,,97.37,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,63,No Different than the National Rate,9.3,18.3,,1/1/2016,12/31/2016,13
COOPER CLINIC PA,04C0001028,1215024575,FORT SMITH,AR,72903,2016,0,,0.458,,0,,0,,428.57,1,1/1/2016,12/31/2016,Yes,,"5,573",0,588,0,0,"4,985",0,0,,1/1/2016,12/31/2016,81.13,,2016/2017,77.78,,81.25,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,897,No Different than the National Rate,9.5,17.2,,1/1/2016,12/31/2016,12.8
SAN CARLOS AMBULATORY SURGERY CENTER,39C0001196,1215028469,KING OF PRUSSIA,PA,19406,2016,0,,0,,0,,0,,"1,000.00",1,1/1/2016,12/31/2016,Yes,,"5,150",0,"5,150",0,0,0,0,0,,1/1/2016,12/31/2016,80,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
RED LION SURGICENTER LLC,39C0001241,1215038252,PHILADELPHIA,PA,19115,2016,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,100,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
DEERPATH ORTHOPEDIC SURGICAL CENTER LLC,14C0001106,1215040464,MORRIS,IL,60450,2016,0,,0,,0,,0,,"1,000.00",,1/1/2016,12/31/2016,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,90.63,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
NOVANT HEALTH BALLANTYNE  OUTPATIENT SURGERY CENTER,34C0001154,1215061049,CHARLOTTE,NC,28277,2016,0,,0,,0,,3.125,,807.02,,1/1/2016,12/31/2016,Yes,,650,17,5,32,181,291,52,72,,1/1/2016,12/31/2016,96.43,,2016/2017,90.63,,82.76,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,38,No Different than the National Rate,8.5,17.1,,1/1/2016,12/31/2016,12.2
WYOMING ENDOSCOPY CENTER,53C0001002,1215073705,CHEYENNE,WY,82001,2016,1.117,,0,,0,,1.117,,0,1,1/1/2016,12/31/2016,Yes,,"2,695",0,0,0,0,"2,695",0,0,,1/1/2016,12/31/2016,N/A,5,2016/2017,82.72,,91.07,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,484,No Different than the National Rate,11.1,20.9,,1/1/2016,12/31/2016,15.3
SADDLE BROOK SURGICENTER INC,31C0001037,1215080569,SADDLE BROOK,NJ,7663,2016,0,1,0,1,0,1,0,1,N/A,5,1/1/2016,12/31/2016,Yes,,793,0,0,0,210,0,583,0,,1/1/2016,12/31/2016,N/A,5,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
CORPUS CHRISTI SURGICARE LTD,45C0001245,1215091087,CORPUS CHRISTI,TX,78411,2016,0,,0.852,,0,,0,,"1,000.00",,1/1/2016,12/31/2016,Yes,,"5,416",20,0,23,"3,198","1,190",786,199,,1/1/2016,12/31/2016,80.45,,2016/2017,100,,100,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,79,No Different than the National Rate,8.7,17.8,,1/1/2016,12/31/2016,12.5
UPPER BAY SURGERY CENTER LLC,21C0001466,1215116611,ELKTON,MD,21921,2016,0,,0,,0,,0,,"1,000.00",,1/1/2016,12/31/2016,Yes,,728,2,0,0,352,7,141,226,,1/1/2016,12/31/2016,23.26,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,Number of Cases Too Small,N/A,N/A,1,1/1/2016,12/31/2016,N/A
VALLEY DIGESTIVE HEALTH CENTER,05C0001634,1215126438,ARCADIA,CA,91006,2016,0,,0,,0,,0,,N/A,5,1/1/2016,12/31/2016,Yes,,"4,552",0,0,0,0,"4,552",0,0,,1/1/2016,12/31/2016,94.44,,2016/2017,95.12,,83.41,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,316,No Different than the National Rate,8.1,15.7,,1/1/2016,12/31/2016,11.4
EMMAUS SURGICAL CENTER LLC,31C0001224,1215134564,HACKETTSTOWN,NJ,7840,2016,0,,0,,0,,0,,"1,000.00",,1/1/2016,12/31/2016,Yes,,"2,443",0,0,0,765,"1,644",25,9,,1/1/2016,12/31/2016,52.38,,2016/2017,100,,100,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,242,No Different than the National Rate,8.5,16.7,,1/1/2016,12/31/2016,11.9
PACIFIC CATARACT AND LASER INSTITUTE INC PC,50C0001295,1215178835,OLYMPIA,WA,98506,2016,0,,0,,0,,0,,N/A,5,1/1/2016,12/31/2016,Yes,,"1,759",0,"1,759",0,0,0,0,0,,1/1/2016,12/31/2016,52.63,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
ASC DEVELOPMENT COMPANY LLC,21C0001324,1215185335,PIKESVILLE,MD,21208,2016,0,,0,,0,,0,,N/A,5,1/1/2016,12/31/2016,Yes,,"1,518",0,0,0,"1,518",0,0,0,,1/1/2016,12/31/2016,N/A,5,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
MINIMALLY INVASIVE NEUROSPINE AND PAIN INSTITUTE PC,11C0001392,1215204128,STOCKBRIDGE,GA,30281,2016,0,,0,,0,,0,,"1,000.00",,1/1/2016,12/31/2016,Yes,,"2,145",0,0,0,0,0,"2,145",0,,1/1/2016,12/31/2016,22.22,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
PUTNAM GI LLC,33C0001126,1215211552,CARMEL,NY,10512,2016,0,,0,,0,,1.961,,"1,000.00",1,1/1/2016,12/31/2016,Yes,,"2,701",0,0,0,0,"2,701",0,0,,1/1/2016,12/31/2016,95.74,,2016/2017,96.57,,100,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,283,No Different than the National Rate,9.1,17.8,,1/1/2016,12/31/2016,12.8
PUTNAM GI LLC,33C0001158,1215211552,CARMEL,NY,10512,2016,0,,0,,0,,1.961,,"1,000.00",1,1/1/2016,12/31/2016,Yes,,"2,701",0,0,0,0,"2,701",0,0,,1/1/2016,12/31/2016,100,,2016/2017,96.57,,100,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,283,No Different than the National Rate,9.1,17.8,,1/1/2016,12/31/2016,12.8
SOUTH HILLS SURGERY CENTER LLC,39C0001295,1215227194,WEST MIFFLIN,PA,15122,2016,0,,0,,0,,0,,983.61,,1/1/2016,12/31/2016,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,13.04,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
KNOWLES SURGERY CENTER LLC,05C0001963,1215238076,LOS GATOS,CA,95032,2016,0,,0,,0,,0,,N/A,5,1/1/2016,12/31/2016,Yes,,939,0,0,52,456,150,226,55,,1/1/2016,12/31/2016,83.02,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
WAKE FOREST UNIVERSITY BAPTIST OUTPATIENT ENDOSCOPY CENTER,34C0001172,1215263082,WINSTON SALEM,NC,27103,2016,0,,0,,0,,272.727,,0,1,1/1/2016,12/31/2016,Yes,,"2,459",0,0,0,0,"2,459",0,0,,1/1/2016,12/31/2016,95.24,,2016/2017,98.19,,96.27,,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,45,No Different than the National Rate,9.7,19.6,,1/1/2016,12/31/2016,13.6
DOCTORS OUTPATIENT CENTER FOR SURGERY INC,05C0001363,1215263355,LOS ANGELES,CA,90048,2016,0,,0,,0,,0,,N/A,5,1/1/2016,12/31/2016,Yes,,"1,600",0,0,0,317,0,"1,283",0,,1/1/2016,12/31/2016,83.33,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
ISPM ASC AT PIEDMONT LLC,11C0001403,1215275227,ATLANTA,GA,30309,2016,0,,0,,0,,0,,"1,000.00",,1/1/2016,12/31/2016,Yes,,"10,934",0,0,0,0,0,"10,934",0,,1/1/2016,12/31/2016,94.74,,2016/2017,N/A,5,N/A,5,1/1/2016,12/31/2016,N/A,5,1/1/2016,12/31/2016,N/A,N/A,N/A,N/A,5,1/1/2016,12/31/2016,N/A
